10,13,15,19,27
6,11,17,32,33
1,10,12,27,34
6,12,15,21,30
2,8,16,22,34
4,5,16,23,25
9,10,17,31,33
7,10,11,22,3
01,11,18,19,33
07,10,11,22,31
09,10,17,31,33
04,05,16,23,25
02,08,16,22,34
2,6,28,32,35
6,10,23,24,30
11,18,25,30,35
3,5,6,27,31
1,3,12,21,23
7,15,18,20,31
15,16,19,23,32
5,15,17,18,24
2,3,9,17,27
3,19,20,31,33
2,4,9,15,26
1,13,23,28,32
9,18,21,33,34
18,20,22,28,31
3,13,24,25,28
2,8,16,17,21
3,13,24,29,35
1,9,12,27,31
8,12,17,20,28
12,17,26,29,35
1,14,24,27,35
15,16,18,20,28
11,18,20,25,31
2,4,11,26,34
1,3,4,8,9
2,4,7,29,35
14,30,32,33,34
6,18,30,32,35
3,14,22,23,25
1,4,12,17,19
14,22,27,32,34
15,16,20,26,30
13,18,22,27,29
6,10,19,21,27
2,4,5,28,29
3,5,14,18,28
5,13,21,30,32
1,3,7,26,34
7,15,17,28,35
11,12,15,32,34
11,15,24,25,27
10,13,21,23,27
9,16,20,28,35
4,8,9,13,35
2,4,18,33,34
3,20,21,28,33
16,17,24,26,27
11,19,23,28,32
2,9,15,17,23
14,17,23,31,34
1,5,12,24,35
3,5,13,21,25
14,20,21,22,23
7,11,12,31,34
8,9,27,32,35
18,21,27,30,31
6,14,19,25,33
6,9,15,20,21
4,6,19,25,30
2,6,21,27,28
6,9,13,16,32
15,19,21,26,30
23,24,26,28,32
6,12,13,31,33
8,11,25,26,35
1,3,17,31,34
14,16,20,23,29
13,14,19,20,28
5,15,25,27,33
12,15,16,31,33
1,17,23,25,32
2,3,6,32,33
2,3,8,10,15
3,10,20,26,31
2,4,5,28,34
6,21,25,33,34
5,13,17,23,28
3,25,29,30,34
2,11,15,23,32
3,9,30,34,35
8,9,12,14,17
5,12,15,19,27
7,8,9,10,35
1,2,14,29,35
6,14,28,29,33
7,10,12,26,30
3,4,5,24,28
1,6,14,18,25
1,4,11,16,29
13,14,26,27,29
7,16,22,23,26
2,4,10,14,34
1,10,11,19,28
7,9,20,22,26
1,11,14,21,30
14,15,20,22,30
7,19,21,26,31
12,15,20,24,25
2,20,21,29,33
5,10,13,17,29
6,12,15,31,32
10,13,17,21,35
1,7,9,22,25
11,13,14,18,32
4,7,24,30,32
9,13,23,26,30
4,8,17,22,33
2,6,11,26,34
1,2,3,16,27
1,8,16,20,23
16,19,20,27,30
3,11,21,32,34
3,18,20,25,30
4,5,17,22,27
2,12,20,22,28
1,13,20,24,26
6,12,17,29,34
6,14,16,27,34
1,12,13,26,29
8,24,27,28,32
5,7,13,15,25
7,11,18,22,29
6,12,18,20,27
8,25,30,33,35
6,13,18,24,26
8,12,13,14,23
12,15,18,33,35
5,9,20,26,27
2,4,7,22,29
6,15,17,20,22
10,16,20,30,33
6,11,29,31,34
5,8,12,22,25
1,16,19,23,29
3,12,20,22,29
1,3,4,13,18
11,20,25,29,30
3,15,18,25,30
5,12,15,21,29
21,23,24,27,33
2,10,23,28,31
1,3,8,22,30
7,17,20,22,30
2,4,8,19,20
1,3,5,11,18
2,9,12,32,35
11,23,26,28,33
8,13,20,26,28
8,10,11,19,35
8,15,21,33,34
2,11,22,24,26
6,11,12,21,28
6,9,12,23,25
7,13,14,30,33
5,14,26,28,30
1,6,15,18,29
6,16,21,29,35
2,20,21,26,27
14,18,19,29,32
7,14,15,23,24
9,15,19,28,29
1,10,21,22,34
10,13,28,31,33
9,16,17,20,25
7,17,23,27,31
12,17,25,30,34
7,9,12,22,23
1,3,14,17,28
1,6,7,13,16
8,9,17,29,33
5,19,24,31,33
7,16,23,28,30
3,8,12,13,17
5,18,25,29,35
10,13,17,27,28
18,26,29,30,35
1,13,16,21,34
8,12,20,26,30
5,9,30,32,33
