2,6,11,39,45,11,
4,13,19,24,43,15,
3,7,17,30,47,15,
5,24,26,27,43,1,
30,36,41,42,45,15,
6,8,17,22,31,13,
2,11,29,43,45,5,
1,4,13,26,27,1,
17,29,36,38,47,16,
8,13,14,42,44,2,
9,15,29,38,39,16,
3,10,16,37,44,4,
18,25,34,39,48,12,
1,4,31,39,47,5,
5,19,30,37,45,13,
1,3,8,13,29,11,
18,27,34,35,43,16,
10,11,32,40,41,15,
23,30,33,37,45,1,
2,5,19,26,38,6,
8,20,35,36,38,16,
1,15,20,43,44,4,
1,6,19,27,45,14,
13,16,18,19,34,5,
7,24,27,29,43,10,
27,43,44,45,47,18,
3,13,24,36,44,11,
24,26,31,38,42,17,
1,6,26,36,47,4,
12,19,22,42,46,17,
24,32,36,40,48,6,
14,17,28,31,39,3,
13,24,28,36,38,1,
7,17,22,25,43,11,
3,9,17,30,42,15,
3,18,20,42,45,8,
1,4,19,26,37,2,
1,7,29,36,44,4,
15,21,37,41,44,2,
2,9,19,28,34,12,
10,16,28,45,46,5,
1,7,17,38,46,12,
3,13,14,17,26,12,
14,21,28,33,35,18,
7,11,30,35,36,5,
2,4,6,34,47,8,
20,21,29,43,45,13,
5,7,13,37,39,14,
7,19,31,34,47,11,
18,31,42,46,47,14,
21,31,36,37,44,7,
4,12,15,36,46,17,
17,41,42,45,46,16,
4,7,39,42,46,4,
5,11,35,41,44,12,
3,12,18,39,44,7,
1,2,11,24,36,16,
13,15,27,31,40,12,
8,12,18,27,48,17,
7,29,31,38,46,17,
14,23,45,47,48,9,
16,32,34,36,47,3,
7,26,39,43,46,12,
10,16,27,33,44,13,
8,9,18,31,38,9,
1,12,24,37,47,6,
16,21,23,26,45,2,
2,28,38,43,46,1,
1,10,23,36,38,2,
14,16,28,30,43,13,
4,11,23,25,27,8,
9,34,36,39,45,13,
2,4,13,30,37,7,
2,14,35,37,38,11,
2,3,13,19,34,8,
5,8,11,38,40,1,
7,26,30,31,38,3,
11,14,16,32,42,11,
9,10,18,23,40,16,
17,30,33,36,41,8,
20,23,24,34,47,3,
3,13,16,29,36,14,
8,13,21,22,42,7,
3,12,14,25,39,9,
20,28,33,38,42,10,
3,25,32,36,48,6,
4,6,14,33,39,4,
9,10,21,24,28,7,
2,3,15,22,30,14,
5,29,30,39,40,17,
9,19,25,33,43,6,
6,9,19,39,47,15,
8,15,20,38,39,14,
15,21,29,35,41,18,
10,15,30,45,46,15,
3,17,21,25,43,12,
10,24,40,44,48,11,
6,7,15,31,43,8,
3,10,31,39,47,15,
6,13,17,37,44,17,
11,17,21,40,46,3,
12,18,31,36,46,11,
8,12,36,38,45,1,
8,26,27,29,33,9,
4,15,27,29,30,2,
2,18,22,39,41,2,
3,9,11,14,48,5,
12,13,22,31,46,2,
8,10,20,21,47,3,
1,11,19,34,40,11,
7,10,23,31,32,14,
9,11,17,32,33,6,
6,14,21,37,43,5,
12,17,27,36,44,10,
5,16,20,23,30,15,
11,18,41,46,48,8,
8,35,37,39,46,7,
28,30,31,34,45,17,
13,14,19,31,34,4,
11,19,20,37,44,9,
1,6,19,28,48,2,
26,28,31,33,37,18,
3,11,17,18,38,2,
4,9,15,25,40,11,
11,12,21,22,35,1,
1,16,22,39,40,5,
11,15,28,36,40,11,
3,6,17,45,46,15,
15,33,34,41,43,17,
7,12,28,37,41,2,
16,33,38,39,47,10,
9,15,18,31,40,16,
6,20,22,26,38,17,
5,30,31,33,40,7,
3,6,9,21,26,4,
3,12,15,38,44,9,
7,25,33,43,44,9,
7,31,35,39,43,4,
23,30,36,37,47,15,
5,12,16,31,40,9,
11,14,29,42,43,3,
1,2,3,27,30,5,
5,8,27,33,39,17,
11,22,25,29,34,10,
5,6,15,20,48,5,
20,35,36,44,48,1,
8,10,30,45,47,14,
2,13,27,28,34,18,
10,24,27,31,37,11,
6,18,28,31,42,17,
2,15,22,35,39,2,
11,25,27,42,45,12,
1,12,20,37,45,4,
9,11,12,20,32,10,
1,13,32,45,48,14,
10,12,20,28,48,11,
11,16,30,34,40,3,
10,14,17,27,48,10,
16,18,32,36,47,14,
28,31,33,40,47,16,
3,6,12,14,17,18,
17,25,35,40,47,12,
2,13,19,44,46,6,
8,13,15,29,48,9,
9,24,34,39,45,18,
1,19,31,32,38,5,
2,16,21,29,35,7,
11,13,15,22,44,2,
24,30,41,46,47,6,
2,6,24,27,38,2,
2,8,37,39,40,1,
12,30,31,35,47,2,
14,24,28,39,47,17,
2,14,15,21,35,6,
9,15,17,18,48,5,
4,10,14,38,42,1,
19,22,23,27,48,3,
8,14,19,21,30,13,
11,15,22,28,29,18,
