22,27,44,52,69,9
11,38,41,62,65,15
19,24,40,42,56,23
12,13,33,50,52,23
37,46,57,60,66,8
7,11,19,53,68,23
6,23,25,34,51,3
13,22,27,54,66,9
10,17,20,39,44,16
12,23,44,57,61,5
21,29,54,59,62,4
1,3,7,16,66,5,5
30,36,49,52,63,16
6,19,28,44,60,10
36,42,50,52,67,26
3,18,27,36,53,12
16,26,29,38,50,6
24,29,42,51,54,16
3,8,40,53,58,3
4,27,33,41,42,14
4,23,45,50,53,17
6,28,59,62,69,21
1,4,45,47,67,18
17,36,43,53,67,14
27,28,34,37,44,8
12,21,62,67,69,17
1,2,27,30,67,9
9,11,27,59,66,19
15,18,19,41,43,14
39,41,43,49,64,4
7,38,65,66,68,21
1,5,32,50,64,8
24,25,43,52,63,21
16,31,34,47,65,10
18,22,43,61,65,2
13,30,35,49,59,4
13,31,33,51,58,15
25,40,43,48,50,11
7,17,28,40,45,2
4,31,34,38,61,13
30,31,38,48,68,8
12,21,42,44,49,1
10,11,26,27,34,7
4,11,38,51,68,5
5,12,20,24,29,4
9,14,17,18,53,6
27,35,41,56,60,16
5,8,19,34,39,26
3,9,10,20,62,25
3,8,41,56,64,18
1,24,27,31,62,20
5,25,26,40,60,1
2,12,37,56,65,21
18,19,27,28,45,9
28,35,41,47,60,3
6,47,50,61,68,4
2,21,38,61,66,12
27,33,63,66,68,9
20,24,33,39,42,21
19,26,30,39,63,13
34,50,51,61,67,20
3,4,51,53,60,6
24,33,35,37,42,21
1,12,14,24,57,7
14,21,33,39,62,20
12,25,40,59,61,26
1,28,30,34,52,6
22,26,39,47,63,12
19,22,34,66,69,5
14,24,50,59,64,2
25,27,41,53,68,2
18,21,25,46,64,21
6,15,24,67,68,11
1,4,13,35,58,24
2,27,31,44,64,18
14,16,42,48,64,14
22,24,40,52,64,10
