20,30,54,63,65,14
10,50,56,60,66,19
11,30,33,38,60,16
7,11,22,29,38,4
3,8,31,35,44,16
24,46,49,62,66,7
13,25,50,51,66,6
2,16,31,57,64,24
19,20,22,47,58,1
2,49,50,61,70,14
15,33,37,55,61,24
6,18,26,27,49,4
4,6,40,41,60,11
5,45,55,58,68,7
19,23,39,42,67,18
1,3,19,25,58,20
17,22,29,46,69,1
2,10,31,44,57,10
11,22,42,64,69,18
3,5,16,58,59,11
14,31,34,50,61,13
21,28,58,69,70,20
1,9,16,17,30,17
2,10,42,49,54,13
19,34,35,45,67,7
12,15,32,33,53,24
5,23,26,38,44,25
3,18,27,29,64,1
11,27,30,62,70,10
8,10,22,58,64,21
10,26,36,54,69,4
17,26,50,58,61,11
10,20,28,40,54,12
8,23,44,45,53,3
21,26,53,66,70,13
18,35,40,64,67,18
12,47,49,52,65,12
27,37,42,59,61,11
6,15,45,59,68,1
17,22,25,30,38,24
6,12,31,33,69,17
29,35,59,61,69,22
13,33,59,68,70,8
3,11,33,42,52,20
15,32,38,47,65,12
14,35,37,55,70,15
11,32,43,57,70,6
16,20,30,54,59,7
7,29,36,49,61,22
5,6,29,32,61,20
6,18,44,46,68,18
3,8,17,46,63,7
12,24,46,57,66,22
3,19,32,39,59,24
18,40,47,55,64,11
15,30,35,42,60,16
10,13,14,57,66,3
6,9,13,29,66,24
5,13,29,50,53,25
2,14,21,42,67,18
3,12,17,51,62,1
3,43,50,51,65,13
10,31,42,43,55,8
9,39,52,61,63,25
12,23,26,31,38,2
1,12,26,36,50,7
10,20,29,44,66,11
18,39,42,57,63,7
8,9,18,35,41,18
13,19,20,32,33,14
11,30,45,52,56,20
8,24,30,45,61,12
5,10,28,52,63,18
3,5,6,44,61,25,4
29,40,47,50,57,25
19,22,31,37,54,18
10,24,48,51,66,15
10,17,33,51,64,5
8,10,17,55,66,3
21,33,54,61,67,12
13,22,47,51,55,9
8,34,35,41,52,12
13,62,65,67,69,14
6,37,39,45,46,21
4,24,34,45,57,19
8,10,19,44,47,4
3,19,53,60,68,13
6,12,23,29,57,4
3,16,19,36,60,25
13,16,40,64,68,21
12,20,37,41,64,1
3,10,22,65,66,19
5,11,41,44,55,14
15,34,36,69,70,17
1,2,23,40,45,15
4,37,46,48,51,19
16,18,28,42,43,11
3,15,16,32,41,9
18,38,53,62,64,20
8,29,46,47,48,12
3,21,29,46,63,9
7,9,15,19,25,4
23,27,41,48,51,22
31,35,53,54,55,24
12,32,49,51,66,21
1,37,45,62,64,4
16,26,27,42,61,23
2,3,18,32,68,24
14,17,33,42,66,15
1,21,25,27,40,11
26,28,29,39,49,25
1,7,23,38,55,2
9,20,59,60,63,5
15,22,25,28,69,21
8,25,36,39,67,11
14,16,40,52,59,13
2,22,49,65,67,7
2,15,30,36,63,24
2,33,38,57,70,13
23,24,35,40,43,1
20,29,30,52,58,19
9,15,46,55,57,4
1,4,50,54,59,17
7,9,18,29,39,13
4,43,46,47,61,22
33,41,47,50,62,20
20,29,31,64,66,17
2,12,18,24,39,18
30,43,45,46,61,14
7,13,14,15,18,9
3,20,46,59,63,13
25,29,33,41,44,18
